track_name,artist_name,valence,energy
Keep Kicking It Country,Seckond Chaynce,0.897,0.874
Dangerous After Dark,Cole Swindell,0.765,0.927
Liza Jane,Vince Gill,0.931,0.869
Jet Black Pontiac,Chase Bryant,0.782,0.796
I Wish You Were Beer,Dustin Lynch,0.821,0.884
I'm For Love,"Hank Williams, Jr.",0.803,0.755
Sunshine Overtime,Chris Young,0.888,0.919
Old Flames Have New Names,Mark Chesnutt,0.751,0.71
Statesboro Blues - Live At The Fillmore East/1971,The Allman Brothers Band,0.79,0.813
Friends With Tractors,Rodney Atkins,0.793,0.958
Tennessee Jed,Levon Helm,0.742,0.765
Rejected,Aleyce Simmonds,0.76,0.833
Lord Have Mercy On A Country Boy,Josh Turner,0.709,0.727
Stompin' Grounds,Canaan Smith,0.725,0.757
Time of Day,Turnpike Troubadours,0.729,0.876
Crazy Little Thing Called Love - Remastered,Dwight Yoakam,0.881,0.81
Just Gettin' Started,Blake Shelton,0.804,0.871
Shore Thing,Luke Bryan,0.813,0.876
Used Up,Logan Mize,0.867,0.8
